Periodo;Estado;BCI;Consorcio
01-01-2020;13573074;1875772;91909
01-02-2020;13641632;1881865;92541
01-03-2020;13622133;1844435;92849
01-04-2020;13655131;1819953;93461
01-05-2020;13771731;1816898;93961
01-06-2020;13907167;1815796;94647
01-07-2020;13894011;1817353;95453
01-08-2020;13944961;1822666;96270
01-09-2020;13824948;1789907;97012
01-10-2020;13548296;1275636;56153
01-11-2020;13452587;1280272;56771
01-12-2020;13672708;1282494;57214
01-01-2021;13782923;1285523;42630
01-02-2021;13881090;1286402;39778
01-03-2021;14463791;1273406;41836
01-04-2021;14009982;1207926;42642
01-05-2021;14070887;1173778;43307
01-06-2021;14163798;1179866;44111
01-07-2021;14221761;1312260;44853
01-08-2021;14290226;1310497;39259
01-09-2021;14439096;1244886;39593
01-10-2021;14513560;1265560;39781
01-11-2021;14417664;1318995;40064
01-12-2021;14425272;1325808;40189
01-01-2022;14461106;1331780;40150
01-02-2022;14143116;1288810;39995
01-03-2022;14131464;1297437;40278
01-04-2022;14223912;1303539;40242
01-05-2022;14324012;1310555;40777
01-06-2022;14364081;1318638;40922
01-07-2022;14327023;1317874;41406
01-08-2022;14427778;1313217;43373
01-09-2022;13362614;1347539;45337
01-10-2022;13391258;1373848;47188
01-11-2022;13422772;1397455;49572
01-12-2022;13445026;1418440;51331
